text,no_char,transformed_text
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
Ok lar... Joking wif u oni...,29,ok lar joke wif u oni
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,free entri 2 wkli comp win fa cup final tkt 21st may text fa 87121 receiv entri question std txt rate c appli 08452810075over18
U dun say so early hor... U c already then say...,49,u dun say earli hor u c alreadi say
"Nah I don't think he goes to usf, he lives around here though",61,nah think goe usf live around though
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",148,freemsg hey darl 3 week word back like fun still tb ok xxx std chg send rcv
Even my brother is not like to speak with me. They treat me like aids patent.,77,even brother like speak treat like aid patent
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,158,winner valu network custom select receivea prize reward claim call claim code kl341 valid 12 hour
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,gon na home soon want talk stuff anymor tonight k cri enough today
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info
"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",156,urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,search right word thank breather promis wont take help grant fulfil promis wonder bless time
I HAVE A DATE ON SUNDAY WITH WILL!!,35,date sunday
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,xxxmobilemovieclub use credit click wap link next txt messag click http
Oh k...i'm watching here:),26,oh k watch
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,eh u rememb 2 spell name ye v naughti make v wet
Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,58,fine thatåõ way u feel thatåõ way gota b
