model_name,data_name,accuracy,precision,recall
svc,Count_Vector,0.9264990328820116,0.7421875,0.6884057971014492
knc,Count_Vector,0.9061895551257253,1.0,0.2971014492753623
mnb,Count_Vector,0.9642166344294004,0.8344370860927153,0.9130434782608695
dtc,Count_Vector,0.9245647969052224,0.9166666666666666,0.4782608695652174
lrc,Count_Vector,0.9709864603481625,0.9736842105263158,0.8043478260869565
rfc,Count_Vector,0.971953578336557,1.0,0.7898550724637681
abc,Count_Vector,0.9197292069632496,0.9365079365079365,0.427536231884058
bc,Count_Vector,0.9622823984526112,0.9159663865546218,0.7898550724637681
etc,Count_Vector,0.97678916827853,0.9913793103448276,0.8333333333333334
gbc,Count_Vector,0.9439071566731141,0.9444444444444444,0.6159420289855072
xgb,Count_Vector,0.9738878143133463,0.9663865546218487,0.8333333333333334
svc,tfidf,0.9729206963249516,0.9741379310344828,0.8188405797101449
knc,tfidf,0.9003868471953579,1.0,0.2536231884057971
mnb,tfidf,0.9593810444874274,1.0,0.6956521739130435
dtc,tfidf,0.9361702127659575,0.8461538461538461,0.6376811594202898
lrc,tfidf,0.9516441005802708,0.94,0.6811594202898551
rfc,tfidf,0.971953578336557,1.0,0.7898550724637681
abc,tfidf,0.9245647969052224,0.8409090909090909,0.5362318840579711
bc,tfidf,0.9584139264990329,0.8625954198473282,0.8188405797101449
etc,tfidf,0.9729206963249516,0.9824561403508771,0.8115942028985508
gbc,tfidf,0.9526112185686654,0.9238095238095239,0.7028985507246377
xgb,tfidf,0.9729206963249516,0.9435483870967742,0.8478260869565217
svc,tfidf_maxfeat_1000,0.9690522243713733,0.9568965517241379,0.8043478260869565
knc,tfidf_maxfeat_1000,0.9168278529980658,1.0,0.37681159420289856
mnb,tfidf_maxfeat_1000,0.9777562862669246,0.9914529914529915,0.8405797101449275
dtc,tfidf_maxfeat_1000,0.9381044487427466,0.8627450980392157,0.6376811594202898
lrc,tfidf_maxfeat_1000,0.9613152804642167,0.9622641509433962,0.7391304347826086
rfc,tfidf_maxfeat_1000,0.9738878143133463,0.944,0.855072463768116
abc,tfidf_maxfeat_1000,0.9245647969052224,0.8571428571428571,0.5217391304347826
bc,tfidf_maxfeat_1000,0.965183752417795,0.9047619047619048,0.8260869565217391
etc,tfidf_maxfeat_1000,0.97678916827853,0.9523809523809523,0.8695652173913043
gbc,tfidf_maxfeat_1000,0.9535783365570599,0.9411764705882353,0.6956521739130435
xgb,tfidf_maxfeat_1000,0.9738878143133463,0.9663865546218487,0.8333333333333334
svc,tfidf_maxfeat_2000,0.9758220502901354,0.9669421487603306,0.8478260869565217
knc,tfidf_maxfeat_2000,0.9081237911025145,1.0,0.3115942028985507
mnb,tfidf_maxfeat_2000,0.97678916827853,1.0,0.8260869565217391
dtc,tfidf_maxfeat_2000,0.9342359767891683,0.8365384615384616,0.6304347826086957
lrc,tfidf_maxfeat_2000,0.9574468085106383,0.9607843137254902,0.7101449275362319
rfc,tfidf_maxfeat_2000,0.9748549323017408,0.9666666666666667,0.8405797101449275
abc,tfidf_maxfeat_2000,0.9226305609284333,0.8372093023255814,0.5217391304347826
bc,tfidf_maxfeat_2000,0.9564796905222437,0.849624060150376,0.8188405797101449
etc,tfidf_maxfeat_2000,0.9777562862669246,0.9752066115702479,0.855072463768116
gbc,tfidf_maxfeat_2000,0.9526112185686654,0.9320388349514563,0.6956521739130435
xgb,tfidf_maxfeat_2000,0.9729206963249516,0.9508196721311475,0.8405797101449275
svc,tfidf_maxfeat_3000,0.9758220502901354,0.9747899159663865,0.8405797101449275
knc,tfidf_maxfeat_3000,0.9052224371373307,1.0,0.2898550724637681
mnb,tfidf_maxfeat_3000,0.9709864603481625,1.0,0.782608695652174
dtc,tfidf_maxfeat_3000,0.9303675048355899,0.8367346938775511,0.5942028985507246
lrc,tfidf_maxfeat_3000,0.9584139264990329,0.9702970297029703,0.7101449275362319
rfc,tfidf_maxfeat_3000,0.9758220502901354,0.9829059829059829,0.8333333333333334
abc,tfidf_maxfeat_3000,0.9245647969052224,0.8488372093023255,0.5289855072463768
bc,tfidf_maxfeat_3000,0.9584139264990329,0.8682170542635659,0.8115942028985508
etc,tfidf_maxfeat_3000,0.9748549323017408,0.9745762711864406,0.8333333333333334
gbc,tfidf_maxfeat_3000,0.9468085106382979,0.9191919191919192,0.6594202898550725
xgb,tfidf_maxfeat_3000,0.9671179883945842,0.9262295081967213,0.8188405797101449
